purchaseOrderTime,purchaseOrderGas,makeOrderTime,makeOrderGas,sourceTime,sourceGas,genTime,genGas
18.39299989,203611,1.89199996,74410,16.85600019,334603,1.322999954,91803
1.877000093,203611,9.322000027,55210,4.321000099,304603,1.270999908,76803
1.806999922,203611,4.983999968,55186,5.809000015,304579,4.435000181,76803
3.360000134,203611,9.292999983,55210,9.883000135,304603,1.29399991,76803
5.332000017,203611,1.669000149,55210,1.72300005,304603,2.186000109,76803
25.8269999,203611,0.978000164,55210,0.874000072,304603,4.99000001,76803
1.13499999,203611,2.036999941,55198,4.411999941,304591,1.049000025,76791
2.861000061,203611,3.232999802,55210,1.551000118,304603,2.049000025,76258
1.072999954,203611,17.37299991,55210,2.381000042,304603,1.459000111,76803
0.96600008,203611,7.82799983,55210,8.644000053,304603,1.054000139,76803
1.988999844,203611,3.522000074,55210,1.368000031,304603,0.457000017,76803
21.18599987,203611,9.523999929,55198,1.711000204,304591,304591,76803
1.621999979,203611,17.61300015,55210,1.078999996,304603,0.970000029,76803
1.150000095,203611,0.531999826,55210,16.89499998,304603,1.973999977,76803
2.541000128,203611,0.438000202,55210,3.006999969,304603,0.881999969,76791
4.129000187,203611,0.729000092,55210,4.151000023,304603,1.077000141,76803
0.990999937,203611,17.85699987,55210,0.75999999,304603,7.680999994,76803
0.748000145,203611,1.556999922,55210,0.556999922,304603,1.178999901,76791
21.39899993,203611,7.776000023,55198,2.851000071,304591,8.221999884,76803
1.089999914,203611,0.726000071,55210,2.35800004,304603,14.69000006,76803
1.797999859,203611,1.884000063,55210,0.636999846,304603,2.797999859,76803
1.368000031,203611,1.604000092,55210,1.049000025,304603,0.549000025,76803
2.014999866,203611,22.56200004,55210,0.315999985,304603,14.58099985,76803
2.444000006,203611,0.876000166,55210,2.419999838,304603,0.536999941,76803
0.095999956,203611,2.057999849,55210,0.628000021,304603,0.421000004,76803
9.323999882,203611,23.6869998,55210,0.409000158,304603,5.892999887,76803
0.872999907,203611,1.180999994,55210,8.054999828,304603,16.36400008,76803
1.422999859,203611,0.510999918,55210,0.954999924,304603,24.03900003,76803
0.49000001,203611,0.681999922,55198,15.81900001,304591,1.170000076,76803
0.819999933,203611,1.404999971,55210,9.809000015,304603,2.338000059,76803
12.66900015,203611,1.750999928,55210,1.730000019,304603,13.95799994,76803
1.335999966,203611,10.30900002,55210,2.245000124,304603,1.753000021,76803
5.457999945,203611,2.977999926,55210,2.705000162,304603,1.070000172,76803
0.776000023,203611,0.769000053,55210,1.885999918,304603,1.279000044,76803
1.678999901,203611,0.86500001,55210,4.048000097,304603,2.065000057,76803
0.515000105,203611,11.09000015,55210,0.427999973,304603,1.769000053,76791
